Class,Order,Family,Genus,Species,"Number, etc.",nuSSU,nuLSU,RPB1,RPB2,mtSSU,TEF1a,edited_name
Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,anomala,(AFTOL-ID 132),DQ883785,DQ883794,DQ883737,DQ883750,DQ912298,DQ883769,Pseudocyphellaria_anomala
Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,beauvoisii,(AFTOL-ID 1242),DQ986713,DQ986769,,DQ992456,DQ986867,,Sticta_beauvoisii
Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,aurata,Purvis et al. 7/5/1995 (BM),,AY340562,GQ259082,,AY340520,,Pseudocyphellaria_aurata
Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,divulsa,Wedin 6012 (BM),,AY340564 ,GQ259083,,AY340522 ,,Pseudocyphellaria_divulsa
Lecanoromycetes,Peltigerales,Nephromataceae,Nephroma,parile,(AFTOL-ID 131),AY584680,AY584656,DQ973061,DQ973075,AY584625,,Nephroma_parile
Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,membranacea,,JX181776,JX181776,JN596954,AY485629,NC_016957,JX181771,Peltigera_membranacea
Lecanoromycetes,Teloschistales,Brigantiaeaceae,Brigantiaea,cf. leucoxantha,"P. & B. v.d. Boom 40691, D. & M. Brand, E. Serusiaux (P.v.d. Boom Herb.)",JQ301602,JQ301542,JQ301703,,JQ301477,,Brigantiaea_cf_leucoxantha
Lecanoromycetes,Teloschistales,Letrouitiaceae,Letrouitia,domingensis,Lücking 15027 (DUKE) (AFTOL-ID 102),AY584672,AY584648,DQ883734,DQ883747,AY584619,DQ883765,Letrouitia_domingensis
Lecanoromycetes,Teloschistales,Megalosporaceae,Sipmaniella,sulphureofusca,Sipman 53087 (B),JQ301624,JQ301568,,,JQ301504,,Sipmaniella_sulphureofusca
Lecanoromycetes,Teloschistales,Megalosporaceae,Megalospora,tuberculosa,(AFTOL-ID 107),AY584674,AY584650,DQ883781,DQ883761,AY584623,EU369176,Megalospora_tuberculosa
Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria,polycarpa,(AFTOL-ID 200),DQ912328,DQ912351,DQ912377,DQ912399,DQ912303,,Xanthoria_polycarpa
Lecanoromycetes,Teloschistales,Teloschistaceae,Teloschistes,exilis,Hillis 07-726 (DUKE),JQ301630,JQ301577,JQ301726,,JQ301519,,Teloschistes_exilis
Lecanoromycetes,Teloschistales,Teloschistaceae,Rufoplaca,scotoplaca,Gaya et al. (BCN),JQ301618,JQ301561,JQ301715,,JQ301497,,Rufoplaca_scotoplaca
Leotiomycetes,Helotiales,Helotiaceae,Chlorociboria,aeruginosa,Johnson KH05252003-20 (OSC) (AFTOL-ID 151),AY544713,AY544669,DQ471125,DQ470886,AY544734,DQ471053,Chlorociboria_aeruginosa
Leotiomycetes,Rhytismatales,Rhytismataceae,Coccomyces,strobi,,DQ471027 ,DQ470975 ,DQ471173 ,DQ470929 ,FJ190622 ,DQ471099 ,Coccomyces_strobi
Leotiomycetes,Thelebolales,Thelebolaceae,Thelebolus,microsporus,,FJ176851 ,FJ176905 ,FJ238446 ,FJ238385 ,FJ190662 ,FJ238418 ,Thelebolus_globosus
Lichinomycetes,Lichinales,Lichinaceae,Lempholemma,polyanthes,Zoladiski & Lutzoni 11294-L1 (2/2) (CANL) (AFTOL-ID 367),AF356690,AF356691,,AY641050,AY584709,,Lempholemma_polyanthes
Lichinomycetes,Lichinales,Peltulaceae,Peltula,umbilicata,Rauhut A6 (DUKE) (AFTOL-ID 891),DQ782887,DQ832334,DQ782855,DQ832335,DQ922954,DQ782919,Peltula_umbilicata
Pezizomycetes,Pezizales,Morchellaceae,Morchella,cf. esculenta,"O' Donnell (Peoria, Illinois, 05/09/2003) (OSC) (AFTOL-ID 60)",AY544708,AY544664,DQ471117,DQ470880,AY544750,DQ471046,Morchella_esculenta
Pezizomycetes,Pezizales,Pyronemataceae,Cheilymenia,stercorea,Johnson KH04282003-4 (OSC) (AFTOL-ID 148),AY544705,AY544661,DQ471123,EF080826,AY544733,DQ471052,Cheilymenia_stercorea
Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,scutellata,Sequoia KH03212003-1 (OSC) (AFTOL-ID 62),DQ247814,DQ247806,DQ479935,DQ247796,FJ190587,DQ471047,Scutellinia_scutellata
Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,cerevisiae,S288c,J01353,GQ458029,JQ287801,NM_001183570,,,Saccharomyces_cerevisiae
Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,pombe,,Z19578,Z19578,X56564,D13337,,,Schizosaccharomyces_pombe
Sordariomycetes,Boliniales ,Boliniaceae,Camarops,ustulinoides,"DEH 2164, CBS 122033 (AFTOL-ID 72)",DQ470989,DQ470941,DQ471121,DQ470882,FJ190588,DQ471050,Camarops_ustulinoides
Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,streum,,DQ471007 ,DQ470959 ,DQ471151 ,DQ470909 ,FJ190601 ,DQ471078 ,Coniochaeta_ostrea
Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,eres,CBS 109767 (AFTOL-ID 935),DQ471015,AF408350,DQ471161,DQ470919,FJ190607,DQ479931,Diaporthe_eres
Sordariomycetes,Diaporthales,Gnomoniaceae,Gnomonia,gnomon,CBS 199.53 (AFTOL-ID 952),DQ471019,AF408361,DQ471167,DQ470922,FJ190615,DQ471094,Gnomonia_gnomon
Sordariomycetes,Hypocreales,Clavicipitaceae,Epichloe,typhina,,U32405 ,U17396 ,,DQ522440 ,FJ713624 ,AF543777 ,Epichloe_typhina
Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,sinensis,EFCC 7287,EF468971,EF468827,EF468874,EF468924,,,Ophiocordyceps_sinensis
Sordariomycetes,Microascales,Microascaceae,Microascus,trigonosporus,,DQ471006 ,DQ470958 ,DQ471150 ,DQ470908 ,FJ190600 ,DQ471077 ,Microascus_trigonosporus
Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,piliferum,,DQ471003 ,DQ470955 ,DQ471147 ,DQ470905 ,,DQ471074 ,Ophiostoma_piliferum
Sordariomycetes,Sordariales,Sordariaceae,Gelasinospora,tetrasperma,,DQ471032 ,DQ470980 ,DQ471178 ,DQ470932 ,FJ190627 ,DQ471103 ,Gelasinospora_tetrasperma
Taphrinomycetes,Taphrinales,Protomycetaceae,Protomyces,inouyei,,AY548295 ,AY548294 ,DQ471135 ,AY548299 ,,DQ497611,Protomyces_inouyei
Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,deformans,,DQ471024 ,DQ470973 ,DQ471170 ,DQ470927 ,FJ713610 ,DQ471097 ,Taphrina_deformans
