edited_name,lichen
Elaphocordyceps_capitata,0
Elaphocordyceps_ophioglossoides,0
Eleutherascus_lectardii,0
Elsinoe_veneta,0
Encephalographa_elisae,1
Endothia_gyrosa,0
Epichloe_typhina,0
Eremithallus_costaricensis,1
Erysiphe_glycines,0
Farlowiella_carmichaeliana,0
Fissurina_insidiosa,1
Flavoparmelia_caperata,1
Friedmanniomyces_endolithicus,0
Gelasinospora_tetrasperma,0
Geoglossum_nigritum,0
Glomerella_cingulata,0
Glonium_circumserpens,0
Gnomonia_gnomon,0
Granulopyrenis_seawardii,0
Guignardia_bidwellii,0
Gyalecta_jenensis,1
Gyalecta_ulmi,1
Halojulella_avicenniae,0
Heleiosa_barbatula,0
Hortaea_werneckii,0
Hydropisphaera_erubescens,0
Hymenelia_lacustris,1
Hypocenomyce_scalaris,1
Hypocrea_americana,0
Hypocrea_lutea,0
Hypogymnia_physodes,1
Hysterium_angustatum,0
Hysterobrevium_smilacis,0
Hysterographium_fraxini,0
Hysteropatella_clavispora,0
Jahnula_sangamonensis,0
Kellermania_yuccigena,0
Kirschsteiniothelia_aethiops,0
Lachnum_virgineum,0
Lanspora_coronata,0
Lasallia_papulosa,1
Lecanora_hybocarpa,1
Lempholemma_polyanthes,1
Lentithecium_fluviatile,0
Leotia_lubrica,0
Lepraria_lobificans,1
Leptosphaeria_maculans,0
Leptosphaerulina_argentinensis,0
Letrouitia_domingensis,1
Leuconeurospora_pulcherrima,0
Lichenoconium_aeruginosum,0
Lichenoconium_erodens,0
Lichenothelia_calcarea,0
Lichenothelia_convexa,0
Lindgomyces_rotundatus,0
Lindra_thalassiae,0
Lipomyces_oligophaga,0
Lithothelium_septemseptatum,1
Lophiotrema_lignicola,0
Lophiotrema_nucula,0
Lophium_mytilinum,0
Loxospora_cismonica,1
Lulworthia_grandispora,0
Macrophomina_phaseolina,0
Manglicola_guatemalensis,0
Massarina_eburnea,0
Massariosphaeria_typhicola,0
Megalospora_tuberculosa,1
Melanconis_stilbostoma,0
Meria_laricis,0
Metarhizium_anisopliae,0
Metschnikowia_bicuspidata,0
Microascus_trigonosporus,0
Microglossum_rufum,0
Microthyrium_microscopicum,0
Miriquidica_garovaglii,1
Misturatosphaeria_aurantonotata,0
Mollisia_cinerea,0
Morchella_esculenta,0
Munkovalsaria_rubra,0
Mycocalicium_subtile,0
Mycomicrothelia_hemisphaerica,1
Myriangium_duriaei,0
Myriangium_hispanicum,0
Myriotrema_pycnoporellum,1
Mytilinidion_mytilinellum,0
Naemacyclus_fimbriatus,0
Naemacyclus_minor,0
Natipusilla_bellaspora,0
Natipusilla_decorospora,0
Nectria_cinnabarina,0
Nectria_haematococca,0
Neofabraea_malicorticis,0
Neolecta_vitellina,0
Neomicrothyrium_siamense,0
Nephroma_parile,1
Ochrolechia_yasudae,1
Ophiocordyceps_sinensis,0
Ophionectria_trichospora,0
Ophiostoma_piliferum,0
Orbilia_auricolor,0
Orceolina_kerguelensis,1
Ostreichnion_curtisii,0
Papulosa_amerospora,0
Parmelia_saxatilis,1
Patellaria_atrata,0
Peltigera_degenii,1
Peltigera_membranacea,1
Peltula_umbilicata,1
Pertusaria_dactylina,1
Pertusaria_pertusa,1
Petriella_setifera,0
Phacidium_lacerum,0
Phaeococcomycetaceae_sp_TRN456,0
Phaeographis_intricans,1
Phaeophyscia_orbicularis,1
Phaeotrichum_benjaminii,0
Phlyctis_argena,1
Phlyctis_brasiliensis,1
Phyllobaeis_erythrella,1
Piedraia_hortae,0
Pleopsidium_chlorophanum,1
Plicaria_leiocarpa,0
Pneumocystis_carinii,0
Preussia_terricola,0
Protoblastenia_calva,1
Pseudeurotium_zonatum,0
Pseudocyphellaria_anomala,1
Psora_decipiens,1
Pycnothelia_papillaria,1
