edited_name,lichen,Class,Order,Family,Genus,Species
Sphinctrina_turbinata,0,Eurotiomycetes,Mycocaliciales,Mycocaliciaceae,Sphinctrina,turbinata
Squamarina_cartilaginea,1,Lecanoromycetes,Lecanorales,Squamarinaceae,Squamarina,cartilaginea
Staurothele_frustulenta,1,Eurotiomycetes,Verrucariales,Verrucariaceae,Staurothele,frustulenta
Steinia_geophana,1,Steinia,Steinia,Steinia,Steinia,geophana
Stereocaulon_paschale,1,Lecanoromycetes,Lecanorales,Stereocaulaceae,Stereocaulon,paschale
Sticta_beauvoisii,1,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,beauvoisii
Strigula_jamesii,1,Dothideomycetes,Strigulales,Strigulaceae,Strigula,jamesii MPN548
Strigula_nemathora,1,Dothideomycetes,Strigulales,Strigulaceae,Strigula,nemathora MPN72
Taphrina_deformans,0,Taphrinomycotina,Taphrinales,Taphrinaceae,Taphrina,deformans
Teloschistes_exilis,1,Lecanoromycetes,Teloschistales,Teloschistaceae,Teloschistes,exilis
Thaxteriellopsis_lignicola,0,Dothideomycetes,Tubeufiales,Tubeufiaceae,Thaxteriellopsis,lignicola
Thelebolus_globosus,0,Leotiomycetes,Thelebolales,Thelebolaceae,Thelebolus,microsporus
Thelenella_antarctica,1,Lecanoromycetes,Incertae sedis,Thelenellaceae,Thelenella,antarctica
Thelocarpon_impressellum,1,Thelocarpales,Thelocarpales,Thelocarpaceae,Thelocarpon,impressellum
Thelocarpon_laureri,1,Thelocarpales,Thelocarpales,Thelocarpaceae,Thelocarpon,laureri
Thelocarpon_lichenicola,1,Thelocarpales,Thelocarpales,Thelocarpaceae,Thelocarpon,lichenicola
Thelotrema_lepadinum,1,Lecanoromycetes,Ostropales,Graphidaceae,Thelotrema,lepadinum
Togninia_minima,0,Sordariomycetes,Diaporthales,Togniniaceae,Togninia,minima
Torpedospora_radiata,0,Sordariomycetes,Incertae sedis,Incertae sedis,Torpedospora,radiata
Trapelia_placodioides,1,Lecanoromycetes,Baeomycetales,Trapeliaceae,Trapelia,placodioides
Trichodelitschia_bisporula,0,Dothideomycetes,Phaeotrichales,Phaeotrichaceae,Trichodelitschia,bisporula
Trichoglossum_hirsutum,0,Geoglossomycetes,Geoglossales,Geoglossaceae,Trichoglossum,hirsutum
Tryblidiopsis_pinastri,0,Leotiomycetes,Rhytismatales,Rhytismataceae,Tryblidiopsis,pinastri
Tubeufia_cerea,0,Dothideomycetes,Tubeufiales,Tubeufiaceae,Tubeufia,cerea
Tyrannosorus_pinicola,0,Dothideomycetes,Venturiales,Venturiaceae,Tyrannosorus,pinicola
Ulospora_bilgramii,0,Dothideomycetes,Pleosporales,Testudinaceae,Ulospora,bilgramii
Uwebraunia_commune,0,Dothideomycetes,Capnodiales,Dissoconiaceae,Dissoconium,commune
Venturia_inaequalis,0,Dothideomycetes,Venturiales,Venturiaceae,Venturia,inaequalis
Verpa_conica,0,Pezizomycetes,,,Verpa,conica
Verticillium_dahliae,0,Sordariomycetes,Incertae sedis,Incertae sedis,Verticillium,dahliae
Vezdaea_cobria,1,Vezdaeales,Vezdaeales,Vezdaeaceae,Vezdaea,cobria
Vibrissea_truncorum,0,Leotiomycetes,,,Vibrissea,truncorum
Xalocoa_ocellata,1,Lecanoromycetes,Ostropales,Graphidaceae,Diploschistes,ocellatus
Xanthoria_polycarpa,1,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria,polycarpa
Xylaria_hypoxylon,0,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,hypoxylon
Xylona_heveae,0,Xylonomycetes,Xylonomycetales,Xylonomycetaceae,Xylona,heveae TC269
Yarrowia_lipolytica,0,Saccharomycotina,Saccharomycetales,Dipodascaceae,Yarrowia,lipolytica
Zygoascus_steatolyticus,0,Saccharomycotina,Saccharomycetales,Trichomonascaceae,Zygoascus,steatolyticus
