edited_name,lichen,Class,Order,Family,Genus,Species
Coniosporium_apollinis,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,Coniosporium,apollonis
Coniosporium_uncinatum,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,Coniosporium,uncinatum
Coniothyrium_palmarum,0,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Coniothyrium,palmarum
Connersia_rilstonii,0,Leotiomycetes,,,Connersia,rilstonii
Cornicularia_normoerica,1,Lecanoromycetes,Lecanorales,Parmeliaceae,Cornicularia,normoerica
Corollospora_maritima,0,Sordariomycetes,Microascales,Halosphaeriaceae,Corollospora,maritima
Cucurbitaria_berberidis,0,Dothideomycetes,Pleosporales,Cucurbitariaceae,Cucurbitaria,berberidis
Cudoniella_clavus,0,Leotiomycetes,Helotiales,Helotiaceae,Cudoniella,cf. clavus
Cyphelium_tigillare,1,Lecanoromycetes,Caliciales,Caliciaceae,Cyphelium,tigillare
Cystocoleus_ebeneus,1,Dothideomycetes,Capnodiales,Incertae Sedis,Cystocoleus,ebeneus 3
Cyttaria_darwinii,0,Leotiomycetes,Cyttariales,Cyttariaceae,Cyttaria,darwinii
Dactylina_arctica,1,Lecanoromycetes,Lecanorales,Parmeliaceae,Dactylina,arctica
Delitschia_winteri,0,Dothideomycetes,Pleosporales,Delitschiaceae,Delitschia,winteri
Dendrographa_decolorans,1,Arthoniomycetes,Arthoniales,Roccellaceae,Dendrographa,decolorans
Dendrographa_leucophaea_f_minor,1,Arthoniomycetes,Arthoniales,Roccellaceae,Dendrographa,leucophaea f. minor
Dermatocarpon_miniatum,1,Eurotiomycetes,Verrucariales,Verrucariaceae,Dermatocarpon,miniatum
Dermea_acerina,0,Leotiomycetes,Helotiales,Dermateaceae,Dermea,acerina
Diaporthe_eres,0,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,eres
Dibaeis_baeomyces,1,Lecanoromycetes,Agyriales,Icmadophilaceae,Dibaeis,baeomyces
Diploschistes_actinostomus,1,Lecanoromycetes,Ostropales,Graphidaceae,Diploschistes,actinostomus
Diploschistes_cinereocaesius,1,Lecanoromycetes,Ostropales,Graphidaceae,Diploschistes,cinereocaesius
Dolabra_nepheliae,0,Eurotiomycetes,,,Dolabra,nepheliae
Dothidea_insculpta,0,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,insculpta
Dothideales_sp_1_NF-2011,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,Dothideales,sp.
Dothideomycetes_sp_AN13,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,rock isolate,AN13
Dothiora_cannabinae,0,Dothideomycetes,Dothideales,Dothioraceae s.l.,Dothiora,cannabinae
Dyfrolomyces_rhizophorae,0,Dothideomycetes,Dyfrolomycetales,Dyfrolomycetaceae,Saccardoella,rhizophorae
Dyfrolomyces_tiomanensis,0,Dothideomycetes,Dyfrolomycetales,Dyfrolomycetaceae,Dyfrolomyces,tiomanensis
Elaphocordyceps_capitata,0,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Elaphocordyceps,capitata
Elaphocordyceps_ophioglossoides,0,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Elaphocordyceps,ophioglossoides
Eleutherascus_lectardii,0,Pezizomycetes,Pezizales,Ascodesmidaceae,Eleutherascus,lectardii
Elsinoe_veneta,0,Dothideomycetes,Myriangiales,Elsinoaceae,Elsinoe,veneta
Encephalographa_elisae,1,Dothideomycetes,Incertae Sedis,Incertae Sedis,Encephalographa,elisae
Endothia_gyrosa,0,Sordariomycetes,Diaporthales,Cryphonectriaceae,Endothia,gyrosa
Epichloe_typhina,0,Sordariomycetes,Hypocreales,Clavicipitaceae,Epichloe,typhina
Eremithallus_costaricensis,1,Dothideomycetes,Eremithallales,Eremithallaceae,Eremithallus,costaricensis 1
Erysiphe_glycines,0,Leotiomycetes,Erysiphales,Erysiphe,Erysiphe,glycines
Farlowiella_carmichaeliana,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,Farlowiella,carmichealiana
Fissurina_insidiosa,1,Lecanoromycetes,Ostropales,Graphidaceae,Fissurina,insidiosa
Flavoparmelia_caperata,1,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia,caperata
Friedmanniomyces_endolithicus,0,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Friedmanniomyces,endolithicus
Gelasinospora_tetrasperma,0,Sordariomycetes,Sordariales,Sordariaceae,Gelasinospora,tetrasperma
Geoglossum_nigritum,0,Geoglossomycetes,Geoglossales,Geoglossaceae,Geoglossum,nigritum
Glomerella_cingulata,0,Sordariomycetes,Incertae sedis,Glomerellaceae,Glomerella,cingulata
Glonium_circumserpens,0,Dothideomycetes,Incertae Sedis,Gloniaceae,Glonium,circumserpens
Gnomonia_gnomon,0,Sordariomycetes,Diaporthales,Gnomoniaceae,Gnomonia,gnomon
Granulopyrenis_seawardii,0,Eurotiomycetes,Pyrenulales,Requienellaceae,Granulopyrenis,seawardii
Guignardia_bidwellii,0,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Guignardia,bidwellii
Gyalecta_jenensis,1,Lecanoromycetes,Ostropales,Gyalectaceae,Gyalecta,jenensis
Gyalecta_ulmi,1,Lecanoromycetes,Ostropales,Gyalectaceae,Gyalecta,ulmi
Halojulella_avicenniae,0,Dothideomycetes,Pleosporales,Incertae Sedis,Julella,avicenniae
Heleiosa_barbatula,0,Dothideomycetes,Monoblastiales???,Incertae Sedis,Heleiosa,barbatula
Hortaea_werneckii,0,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Hortaea,werneckii
Hydropisphaera_erubescens,0,Sordariomycetes,Hypocreales,Bionectriaceae,Hydropisphaera,erubescens
Hymenelia_lacustris,1,Lecanoromycetes,Incertae sedis,Hymeneliaceae,Hymenelia,lacustris
Hypocenomyce_scalaris,1,Lecanoromycetes,Umbilicariales,Ophioparmaceae,Hypocenomyce,scalaris
Hypocrea_americana,0,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,americana
Hypocrea_lutea,0,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,lutea
Hypogymnia_physodes,1,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypogymnia,physodes
Hysterium_angustatum,0,Dothideomycetes,Hysteriales,Hysteriaceae,Hysterium,angustatum
Hysterobrevium_smilacis,0,Dothideomycetes,Hysteriales,Hysteriaceae,Hysterobrevium,smilacis
Hysterographium_fraxini,0,Dothideomycetes,Hysteriales,Hysteriaceae,Hysterographium,fraxini
Hysteropatella_clavispora,0,Dothideomycetes,Patellariales,Patellariaceae,Hysteropatella,clavispora
Jahnula_sangamonensis,0,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula,sangamonensis
Kellermania_yuccigena,0,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,yuccigena
Kirschsteiniothelia_aethiops,0,Dothideomycetes,Incertae Sedis,Kirschsteiniotheliaceae,Kirschsteiniothelia,aethiops
Lachnum_virgineum,0,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,virgineum
Lanspora_coronata,0,Sordariomycetes,Microascales,Halosphaeriaceae,Lanspora,coronata
Lasallia_papulosa,1,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Lasallia,papulosa
Lecanora_hybocarpa,1,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora,hybocarpa
Lempholemma_polyanthes,1,Lichinomycetes,Lichinales,Lichinaceae,Lempholemma,polyanthes
Lentithecium_fluviatile,0,Dothideomycetes,Pleosporales,Lentitheciaceae,Lentithecium,fluviatile
Leotia_lubrica,0,Leotiomycetes,Helotiales,Leotiaceae,Leotia,lubrica
Lepraria_lobificans,1,Lecanoromycetes,Lecanorales,Stereocaulaceae,Lepraria,lobificans
Leptosphaeria_maculans,0,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria,maculans
Leptosphaerulina_argentinensis,0,Dothideomycetes,Pleosporales,Didymellaceae,Leptosphaerulina,argentinensis
Letrouitia_domingensis,1,Lecanoromycetes,Teloschistales,Letrouitiaceae,Letrouitia,domingensis
Leuconeurospora_pulcherrima,0,Leotiomycetes,,,Leuconeurospora,pulcherrima
Lichenoconium_aeruginosum,0,Dothideomycetes,Lichenoconiales,Lichenoconiaceae,Lichenoconium,aeruginosum
Lichenoconium_erodens,0,Dothideomycetes,Lichenoconiales,Lichenoconiaceae,Lichenoconium,erodens
Lichenothelia_calcarea,0,Dothideomycetes,Lichenotheliales,Lichenotheliaceae,Lichenothelia,calcarea
Lichenothelia_convexa,0,Dothideomycetes,Lichenotheliales,Lichenotheliaceae,Lichenothelia,convexa
Lindgomyces_rotundatus,0,Dothideomycetes,Pleosporales,Lindgomycetaceae,Lindgomyces,rotundatus
Lindra_thalassiae,0,Sordariomycetes,Lulworthiales,Lulworthiaceae,Lindra,thalassiae
Lipomyces_oligophaga,0,Saccharomycotina,Saccharomycetales,Lipomycetaceae,Lipomyces,oligophaga
Lithothelium_septemseptatum,1,Eurotiomycetes,Pyrenulales,Pyrenulaceae,Lithothelium,septumseptatum
Lophiotrema_lignicola,0,Dothideomycetes,Pleosporales,Lophiotremataceae,Lophiotrema,lignicola
Lophiotrema_nucula,0,Dothideomycetes,Pleosporales,Lophiotremataceae,Lophiotrema,nucula
Lophium_mytilinum,0,Dothideomycetes,Mytilinidiales,Mytilinidiaceae,Lophium,mytilinum
Loxospora_cismonica,1,Lecanoromycetes,Incertae sedis,Sarrameanaceae,Loxospora,cismonica
Lulworthia_grandispora,0,Sordariomycetes,Lulworthiales,Lulworthiaceae,Lulworthia,grandispora
Macrophomina_phaseolina,0,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Macrophomina,phaseolina
Manglicola_guatemalensis,0,Dothideomycetes,Jahnulales,Manglicolaceae,Manglicola,guatemalensis
Massarina_eburnea,0,Dothideomycetes,Pleosporales,Massarinaceae,Massarina,eburnea
Massariosphaeria_typhicola,0,Dothideomycetes,Pleosporales,Incertae Sedis,Massariosphaeria,typhicola
Megalospora_tuberculosa,1,Lecanoromycetes,Teloschistales,Megalosporaceae,Megalospora,tuberculosa
Melanconis_stilbostoma,0,Sordariomycetes,Diaporthales,Melanconidaceae,Melanconis,stilbostoma
Meria_laricis,0,Leotiomycetes,,,Meria,laricis
Metarhizium_anisopliae,0,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae
Metschnikowia_bicuspidata,0,Saccharomycotina,Saccharomycetales,Metschnikowiaceae,Metschnikowia,bicuspidata
Microascus_trigonosporus,0,Sordariomycetes,Microascales,Microascaceae,Microascus,trigonosporus
Microglossum_rufum,0,Leotiomycetes,Helotiales,Leotiaceae,Microglossum,rufum
Microthyrium_microscopicum,0,Dothideomycetes,Microthyriales,Microthyriaceae,Microthyrium,microscopicum
Miriquidica_garovaglii,1,Lecanoromycetes,Lecanorales,Lecanoraceae,Miriquidica,garovaglii
Misturatosphaeria_aurantonotata,0,Dothideomycetes,Pleosporales,Lophiostomataceae,Misturatosphaeria,aurantonotata
Mollisia_cinerea,0,Leotiomycetes,,,Mollisia,cinerea
Morchella_esculenta,0,Pezizomycetes,Pezizales,Morchellaceae,Morchella,cf. esculenta
Munkovalsaria_rubra,0,Dothideomycetes,Pleosporales,Dacampiaceae,Munkovalsaria,rubra
Mycocalicium_subtile,0,Eurotiomycetes,Mycocaliciales,Mycocaliciaceae,Mycocalicium,subtile
Mycomicrothelia_hemisphaerica,1,Dothideomycetes,Trypetheliales,Trypetheliaceae,Mycomicrothelia,hemisphaerica MPN102
Myriangium_duriaei,0,Dothideomycetes,Myriangiales,Myriangiaceae,Myriangium,duriaei
Myriangium_hispanicum,0,Dothideomycetes,Myriangiales,Myriangiaceae,Myriangium,hispanicum
Myriotrema_pycnoporellum,1,Lecanoromycetes,Ostropales,Graphidaceae,Myriotrema,pycnoporellum
Mytilinidion_mytilinellum,0,Dothideomycetes,Mytilinidiales,Mytilinidiaceae,Mytilinidion,mytilinellum
Naemacyclus_fimbriatus,0,Leotiomycetes,,,Naemacyclus,fimbriatus
Naemacyclus_minor,0,Leotiomycetes,,,Cyclaneusma,minus
Natipusilla_bellaspora,0,Dothideomycetes,Natipusillales,Natipusillaceae,Natipusilla,bellaspora
