"","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"439",-78.0866528585928,160.173305717186,160.21343949645,1,0.000478994957296461,0.000559281348261569,1,2,NA,NA,NA,-68.9074318546296,153.814863709259,154.306331286051,2,2.06115362243856e-09,0.0076070248015347,2.06115362243856e-09,0.008340949572845,2.06115362243856e-09,0.00200779830323541,2.06115362243856e-09,0.0034626512367344,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"440",-82.5826670874626,169.165334174925,169.205467954189,1,0.00109873448613814,0.000406911261661835,1,2,NA,NA,NA,-72.7004162096405,161.400832419281,161.892299996073,2,2.06115362243856e-09,0.00791971449474923,2.06115362243856e-09,0.00632287153582865,2.06115362243856e-09,0.00293290897581715,2.06115362243856e-09,0.00434277845447832,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"441",-80.5258796312098,165.05175926242,165.091893041684,1,0.00116000102998217,0.000428872226464637,1,2,NA,NA,NA,-71.8120616345817,159.624123269163,160.115590845955,2,2.06115362243856e-09,0.00821645193102344,2.06115362243856e-09,0.00557070516765167,2.06115362243856e-09,0.00406102492689576,2.06115362243856e-09,0.00358400154820114,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"442",-85.7423206676743,175.484641335349,175.524775114613,1,0.00140916163350825,0.000316181787413177,1,2,NA,NA,NA,-76.6735118413968,169.347023682794,169.838491259585,2,0.000540361349734994,0.0100719990422662,2.06115362243856e-09,0.00752836656120284,2.06115362243856e-09,0.0110224721734413,2.06115362243856e-09,0.0048615936737757,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"443",-83.1817762674137,170.363552534827,170.403686314092,1,0.00164430689180501,0.000181105855247231,1,2,NA,NA,NA,-75.1404149787256,166.280829957451,166.772297534243,2,2.06115362243856e-09,0.005540698784782,2.06115362243856e-09,0.00925277887209924,2.06115362243856e-09,0.00289757891466213,2.06118819349991e-09,0.0041954852785726,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"444",-81.6096847990005,167.219369598001,167.259503377265,1,0.00145276237746542,0.00016799447528479,1,2,NA,NA,NA,-75.8632034020684,167.726406804137,168.217874380929,2,2.06115362243856e-09,0.00614862079988221,2.06115362243856e-09,0.00715181848542145,0.000303425834792042,0.00239626635370364,2.06115362243856e-09,0.00603197742473904,1,2,3,4,5,6,7,8,NA,NA,NA,"1Rate"
"445",-83.6932265205924,171.386453041185,171.426586820449,1,0.00101772323317932,0.000466931804876926,1,2,NA,NA,NA,-73.7882717582341,163.576543516468,164.06801109326,2,0.000414895601132347,0.0103543954053937,2.06115362243856e-09,0.008279029813489,2.06115362243856e-09,0.011721073861047,2.06115362243856e-09,0.00490782914460386,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"446",-85.117563358598,174.235126717196,174.27526049646,1,0.00136941405943566,0.00028231689408159,1,2,NA,NA,NA,-75.4389525226012,166.877905045202,167.369372621994,2,0.00463549451427225,0.00975889252195473,2.06115362243856e-09,0.00164521943378401,0.00026869227154623,2.06115362243856e-09,2.06115362243856e-09,0.00528918984811618,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"447",-81.7545962379242,167.509192475848,167.549326255113,1,0.000840432865252048,0.000574817099695403,1,2,NA,NA,NA,-71.4314953832742,158.862990766548,159.35445834334,2,0.00237213077239895,0.00756636845826315,2.06115362243856e-09,0.00251758534840927,4.94066068604266e-05,2.06115362243856e-09,2.06115362243856e-09,0.00366066269601019,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"448",-82.4597606226988,168.919521245398,168.959655024662,1,0.00115436413295528,0.000358786680010747,1,2,NA,NA,NA,-71.2387647491834,158.477529498367,158.968997075159,2,0.000491093144334137,0.0154771632965994,2.06115362243856e-09,0.00623839223496103,2.06115362243856e-09,0.0104951990440711,2.06115362243856e-09,0.00907086981824357,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"449",-81.5805348714905,167.161069742981,167.201203522245,1,0.00127998338608118,0.000324780556343375,1,2,NA,NA,NA,-71.7537443373491,159.507488674698,159.99895625149,2,0.000492981370285331,0.0111730814413456,2.06115362243856e-09,0.00555938073574127,2.06115362243856e-09,0.00848752277392641,2.06115362243856e-09,0.00445799619800222,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"450",-81.5834992977907,167.166998595581,167.207132374846,1,0.00057804022863926,0.000569676783690226,1,2,NA,NA,NA,-71.5002175180304,159.000435036061,159.491902612853,2,0.000499583493274844,0.0140445256708324,2.06115362243856e-09,0.0053321237749322,2.06115362243856e-09,0.0179947041506641,2.06115362243856e-09,0.0110640456424691,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
